obo.FOODON_03315163,vegetable juice (dried),NONE
obo.NCBITaxon_69811,Leuciscus idus,NONE
obo.NCBITaxon_155067,Vimba vimba,NONE
obo.FOODON_03311515,jalapeno pepper (green),NONE
obo.FOODON_03309172,white bass (raw),NONE
obo.FOODON_03304981,frozen dairy dessert (nutritively sweetened),NONE
obo.FOODON_03315961,fat-based dessert (energy reduced),NONE
obo.FOODON_03316748,black currant nectar (non-pulpy),NONE
obo.FOODON_03304550,paddy rice,NONE
obo.FOODON_03307669,orange beverage concentrate,NONE
obo.FOODON_03308343,american lobster (raw),NONE
obo.NCBITaxon_61967,Acipenser nudiventris,NONE
obo.FOODON_03304655,cheese ravioli with cheese sauce,NONE
obo.FOODON_03309656,finnan haddie,NONE
obo.FOODON_03304174,beef drippings,NONE
obo.FOODON_03303346,fish chowder soup mix,NONE
obo.FOODON_00001661,bony fish food product,NONE
obo.FOODON_03315290,beverage vegetable,NONE
obo.FOODON_00003017,"pattypan squash (whole, raw)","Sunburst squash is a summer squash (species *Cucurbita pepo*) notable for its small size, round and shallow shape, and scalloped edges, somewhat resembling a small toy top, or flying saucer."
obo.FOODON_03309206,hoki (raw),NONE
obo.FOODON_03305076,gelato,NONE
obo.FOODON_03316299,sweet dish,NONE
obo.FOODON_03311359,citrus fruit nectar,NONE
obo.FOODON_03304551,rice buds,NONE
obo.FOODON_03315038,"fruit flavored drinks and ades, frozen concentrate",NONE
obo.FOODON_03308351,shovel nose lobster (raw),NONE
obo.NCBITaxon_7902,Acipenser gueldenstaedtii,NONE
obo.FOODON_03305712,spaghetti milanese,NONE
obo.FOODON_03309659,haddock croquette,NONE
obo.FOODON_03304945,beef stock base (meatless),NONE
obo.FOODON_03304057,soup mix (dry),NONE
obo.FOODON_00001672,buffalofish food product,NONE
obo.FOODON_03315512,"beverage (vegetable base, preserved, for infants and young children)",NONE
obo.FOODON_00002981,"butternut squash (whole, raw)",A squash harvested from the butternut squash plant.
obo.FOODON_03309215,nile perch (raw),NONE
obo.FOODON_03305431,frozen dairy dessert mix (instant),NONE
obo.FOODON_03316451,dessert (aerated),NONE
obo.FOODON_03317162,citrus nectar,NONE
obo.FOODON_03305707,brewers rice,NONE
obo.FOODON_03315703,beverage concentrate,NONE
obo.FOODON_03308352,bear claw lobster (raw),NONE
obo.NCBITaxon_7903,Acipenser stellatus,NONE
obo.FOODON_00002878,Sōmen,"Sōmen are very thin noodles made of wheat flour, less than 1.3 mm in diameter."
obo.FOODON_03311191,"haddock (raw, breaded)",NONE
obo.FOODON_03304248,chicken vermicelli seasoning mix (dry),NONE
obo.FOODON_03304080,beef-flavored soup mix,NONE
obo.FOODON_00002015,mackerel food product,NONE
obo.FOODON_03316050,beverage vegetable based,NONE
obo.FOODON_03309276,pacific saury (raw),NONE
obo.FOODON_03310666,custard-type product sweetened with aspartame frozen light,NONE
obo.FOODON_03316484,fruit dessert powder,NONE
obo.FOODON_03304361,mango nectar,NONE
obo.FOODON_03307145,yellow rice mix,NONE
obo.FOODON_03316487,dinner concentrate (powdered),NONE
obo.FOODON_03308365,northern lobster (raw),NONE
obo.NCBITaxon_7904,Acipenser transmontanus,NONE
obo.FOODON_00002940,instant noodle,"Instant noodles are a noodle dish sold in a precooked and dried noodle block, with flavoring powder and/or seasoning oil. The flavoring is usually in a separate packet, although in the case of cup noodles the flavoring is often loose in the cup.  Originally a Japanese product, instant noodles are now produced in many other markets."
obo.FOODON_03311428,haddock (frozen),NONE
obo.FOODON_03304947,chicken stock base (fat removed),NONE
obo.FOODON_03304937,cream of chicken soup mix,NONE
obo.FOODON_00001679,cape hake food product,NONE
